,ID,Title,Acceptance,Difficulty,Frequency,Link
0,937,Reorder Data in Log Files,54.3%,Easy,3.9944355947998136, https://leetcode.com/problems/reorder-data-in-log-files
1,1192,Critical Connections in a Network,48.6%,Hard,3.925598813161921, https://leetcode.com/problems/critical-connections-in-a-network
2,200,Number of Islands,46.8%,Medium,3.77815784075652, https://leetcode.com/problems/number-of-islands
3,994,Rotting Oranges,49.2%,Medium,3.630716868351119, https://leetcode.com/problems/rotting-oranges
4,819,Most Common Word,44.8%,Easy,3.483275895945717, https://leetcode.com/problems/most-common-word
5,138,Copy List with Random Pointer,36.4%,Medium,3.452672602379887, https://leetcode.com/problems/copy-list-with-random-pointer
6,763,Partition Labels,76.1%,Medium,3.305231629974486, https://leetcode.com/problems/partition-labels
7,692,Top K Frequent Words,51.8%,Medium,3.256820919958484, https://leetcode.com/problems/top-k-frequent-words
8,146,LRU Cache,33.2%,Medium,3.109379947553083, https://leetcode.com/problems/lru-cache
9,1,Two Sum,45.6%,Easy,2.9619389751476817, https://leetcode.com/problems/two-sum
10,572,Subtree of Another Tree,44.1%,Easy,2.945568993322194, https://leetcode.com/problems/subtree-of-another-tree
11,240,Search a 2D Matrix II,43.2%,Medium,2.798128020916793, https://leetcode.com/problems/search-a-2d-matrix-ii
12,5,Longest Palindromic Substring,29.5%,Medium,2.7358200747627843, https://leetcode.com/problems/longest-palindromic-substring
13,21,Merge Two Sorted Lists,53.5%,Easy,2.678307039145778, https://leetcode.com/problems/merge-two-sorted-lists
14,472,Concatenated Words,43.7%,Hard,2.636650106787832, https://leetcode.com/problems/concatenated-words
15,973,K Closest Points to Origin,63.8%,Medium,2.6240138122465444, https://leetcode.com/problems/k-closest-points-to-origin
16,23,Merge k Sorted Lists,40.2%,Hard,2.5524109933277668, https://leetcode.com/problems/merge-k-sorted-lists
17,1167,Minimum Cost to Connect Sticks,62.8%,Medium,2.423130930639536, https://leetcode.com/problems/minimum-cost-to-connect-sticks
18,957,Prison Cells After N Days,40.7%,Medium,2.42269136604331, https://leetcode.com/problems/prison-cells-after-n-days
19,295,Find Median from Data Stream,44.3%,Hard,2.3279113755186978, https://leetcode.com/problems/find-median-from-data-stream
20,42,Trapping Rain Water,48.9%,Hard,2.204080367616883, https://leetcode.com/problems/trapping-rain-water
21,1152,Analyze User Website Visit Pattern,43.5%,Medium,2.1610636126719283, https://leetcode.com/problems/analyze-user-website-visit-pattern
22,1268,Search Suggestions System,63.2%,Medium,2.157831912757614, https://leetcode.com/problems/search-suggestions-system
23,588,Design In-Memory File System,45.9%,Hard,2.113625008500926, https://leetcode.com/problems/design-in-memory-file-system
24,460,LFU Cache,34.2%,Hard,2.029678026599572, https://leetcode.com/problems/lfu-cache
25,297,Serialize and Deserialize Binary Tree,47.5%,Hard,1.882237054194171, https://leetcode.com/problems/serialize-and-deserialize-binary-tree
26,642,Design Search Autocomplete System,44.7%,Hard,1.850014447447311, https://leetcode.com/problems/design-search-autocomplete-system
27,348,Design Tic-Tac-Toe,54.3%,Medium,1.8169700410705985, https://leetcode.com/problems/design-tic-tac-toe
28,127,Word Ladder,29.6%,Medium,1.798979717201542, https://leetcode.com/problems/word-ladder
29,694,Number of Distinct Islands,56.0%,Medium,1.687940973922044, https://leetcode.com/problems/number-of-distinct-islands
30,212,Word Search II,34.9%,Hard,1.679541552723447, https://leetcode.com/problems/word-search-ii
31,126,Word Ladder II,22.1%,Hard,1.6793805521461769, https://leetcode.com/problems/word-ladder-ii
32,253,Meeting Rooms II,45.7%,Medium,1.6660486200337488, https://leetcode.com/problems/meeting-rooms-ii
