,ID,Title,Acceptance,Difficulty,Frequency,Link
0,312,Burst Balloons,51.8%,Hard,0.0233660227866494, https://leetcode.com/problems/burst-balloons
1,85,Maximal Rectangle,37.7%,Hard,0.0127715656794875, https://leetcode.com/problems/maximal-rectangle
2,5,Longest Palindromic Substring,29.5%,Medium,0.0021771085723255, https://leetcode.com/problems/longest-palindromic-substring
3,15,3Sum,26.8%,Medium,0.0020811662038245, https://leetcode.com/problems/3sum
4,190,Reverse Bits,39.8%,Easy,0.0018162010077772, https://leetcode.com/problems/reverse-bits
5,1,Two Sum,45.6%,Easy,0.0017672359146114, https://leetcode.com/problems/two-sum
6,103,Binary Tree Zigzag Level Order Traversal,48.3%,Medium,0.001688120257403, https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal
8,32,Longest Valid Parentheses,28.4%,Hard,0.0347709952129409, https://leetcode.com/problems/longest-valid-parentheses
10,523,Continuous Subarray Sum,24.6%,Medium,0.0112931747934555, https://leetcode.com/problems/continuous-subarray-sum
11,572,Subtree of Another Tree,44.1%,Easy,0.0100427658021386, https://leetcode.com/problems/subtree-of-another-tree
12,18,4Sum,33.7%,Medium,0.0093458624182376, https://leetcode.com/problems/4sum
13,876,Middle of the Linked List,68.4%,Easy,0.0072820274457654, https://leetcode.com/problems/middle-of-the-linked-list
15,31,Next Permutation,32.6%,Medium,0.0057487942170244, https://leetcode.com/problems/next-permutation
16,127,Word Ladder,29.6%,Medium,0.0057314958446896, https://leetcode.com/problems/word-ladder
18,22,Generate Parentheses,62.7%,Medium,0.0041523987827989, https://leetcode.com/problems/generate-parentheses
20,33,Search in Rotated Sorted Array,34.5%,Medium,0.0031000567336666, https://leetcode.com/problems/search-in-rotated-sorted-array
21,20,Valid Parentheses,39.0%,Easy,0.0021976823306058, https://leetcode.com/problems/valid-parentheses
22,21,Merge Two Sorted Lists,53.5%,Easy,0.0021580801469849, https://leetcode.com/problems/merge-two-sorted-lists
25,3,Longest Substring Without Repeating Characters,30.4%,Medium,0.0014852223137141, https://leetcode.com/problems/longest-substring-without-repeating-characters
46,653,Two Sum IV - Input is a BST,55.5%,Easy,0.0, https://leetcode.com/problems/two-sum-iv-input-is-a-bst
47,987,Vertical Order Traversal of a Binary Tree,36.6%,Medium,0.0, https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree
48,1301,Number of Paths with Max Score,37.3%,Hard,0.0, https://leetcode.com/problems/number-of-paths-with-max-score
49,1139,Largest 1-Bordered Square,47.5%,Medium,0.0, https://leetcode.com/problems/largest-1-bordered-square
50,1464,Maximum Product of Two Elements in an Array,78.1%,Easy,0.0, https://leetcode.com/problems/maximum-product-of-two-elements-in-an-array
51,1519,Number of Nodes in the Sub-Tree With the Same Label,35.2%,Medium,0.0, https://leetcode.com/problems/number-of-nodes-in-the-sub-tree-with-the-same-label
