,ID,Title,Acceptance,Difficulty,Frequency,Link
0,653,Two Sum IV - Input is a BST,55.5%,Easy,0.0168803868630234, https://leetcode.com/problems/two-sum-iv-input-is-a-bst
1,1,Two Sum,45.6%,Easy,0.0130496917532246, https://leetcode.com/problems/two-sum
2,1290,Convert Binary Number in a Linked List to Integer,80.4%,Easy,0.0105681300617922, https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer
3,2,Add Two Numbers,33.9%,Medium,0.0067374349519933, https://leetcode.com/problems/add-two-numbers
4,127,Word Ladder,29.6%,Medium,0.005979091056058, https://leetcode.com/problems/word-ladder
5,20,Valid Parentheses,39.0%,Easy,0.0051688605776653, https://leetcode.com/problems/valid-parentheses
6,17,Letter Combinations of a Phone Number,46.8%,Medium,0.0044018999217624, https://leetcode.com/problems/letter-combinations-of-a-phone-number
7,42,Trapping Rain Water,48.9%,Hard,0.0043506703387449, https://leetcode.com/problems/trapping-rain-water
8,387,First Unique Character in a String,53.4%,Easy,0.0041854199427069, https://leetcode.com/problems/first-unique-character-in-a-string
9,238,Product of Array Except Self,60.1%,Medium,0.0039304364247245, https://leetcode.com/problems/product-of-array-except-self
10,49,Group Anagrams,56.9%,Medium,0.003804093983556, https://leetcode.com/problems/group-anagrams
11,56,Merge Intervals,39.3%,Medium,0.0034728286335985, https://leetcode.com/problems/merge-intervals
12,344,Reverse String,68.5%,Easy,0.0032695795025198, https://leetcode.com/problems/reverse-string
13,5,Longest Palindromic Substring,29.5%,Medium,0.0022793331425074, https://leetcode.com/problems/longest-palindromic-substring
14,15,3Sum,26.8%,Medium,0.0021990113314367, https://leetcode.com/problems/3sum
15,26,Remove Duplicates from Sorted Array,45.1%,Easy,0.0019513153174351, https://leetcode.com/problems/remove-duplicates-from-sorted-array
16,706,Design HashMap,61.3%,Easy,0.0365531024026554, https://leetcode.com/problems/design-hashmap
18,867,Transpose Matrix,62.8%,Easy,0.0287159048345577, https://leetcode.com/problems/transpose-matrix
19,921,Minimum Add to Make Parentheses Valid,73.7%,Medium,0.0214255651693102, https://leetcode.com/problems/minimum-add-to-make-parentheses-valid
29,268,Missing Number,51.7%,Easy,0.0048804391649084, https://leetcode.com/problems/missing-number
30,155,Min Stack,44.5%,Easy,0.0047489107412817, https://leetcode.com/problems/min-stack
33,242,Valid Anagram,56.9%,Easy,0.0041541237431159, https://leetcode.com/problems/valid-anagram
35,103,Binary Tree Zigzag Level Order Traversal,48.3%,Medium,0.003839922800048, https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal
37,200,Number of Islands,46.8%,Medium,0.0028897578265903, https://leetcode.com/problems/number-of-islands
