,ID,Title,Acceptance,Difficulty,Frequency,Link
0,286,Walls and Gates,54.5%,Medium,0.044938310942193, https://leetcode.com/problems/walls-and-gates
1,383,Ransom Note,53.1%,Easy,0.0326012144306243, https://leetcode.com/problems/ransom-note
2,784,Letter Case Permutation,64.6%,Medium,0.0202641179190555, https://leetcode.com/problems/letter-case-permutation
3,22,Generate Parentheses,62.7%,Medium,0.0173314563516399, https://leetcode.com/problems/generate-parentheses
4,20,Valid Parentheses,39.0%,Easy,0.0142924911800259, https://leetcode.com/problems/valid-parentheses
5,443,String Compression,41.3%,Medium,0.0139084300461319, https://leetcode.com/problems/string-compression
6,146,LRU Cache,33.2%,Medium,0.0103211925402749, https://leetcode.com/problems/lru-cache
7,206,Reverse Linked List,62.5%,Easy,0.0093267945119749, https://leetcode.com/problems/reverse-linked-list
8,128,Longest Consecutive Sequence,45.1%,Hard,0.0090518834853154, https://leetcode.com/problems/longest-consecutive-sequence
9,3,Longest Substring Without Repeating Characters,30.4%,Medium,0.0062080671193743, https://leetcode.com/problems/longest-substring-without-repeating-characters
10,127,Word Ladder,29.6%,Hard,0.005979091056058, https://leetcode.com/problems/word-ladder
11,215,Kth Largest Element in an Array,55.4%,Medium,0.0039024439769317, https://leetcode.com/problems/kth-largest-element-in-an-array
12,200,Number of Islands,46.8%,Medium,0.0028897578265903, https://leetcode.com/problems/number-of-islands
13,347,Top K Frequent Elements,61.2%,Medium,0.0014856636219477, https://leetcode.com/problems/top-k-frequent-elements
16,480,Sliding Window Median,37.2%,Hard,0.033730010376693, https://leetcode.com/problems/sliding-window-median
25,412,Fizz Buzz,62.3%,Easy,0.0071659210261436, https://leetcode.com/problems/fizz-buzz
30,66,Plus One,43.0%,Easy,0.0032621134783293, https://leetcode.com/problems/plus-one
31,1,Two Sum,45.6%,Easy,0.0018454351235873, https://leetcode.com/problems/two-sum
